DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52 WEEK HIGH,52 WEEK LOW,VOLUME,VALUE,NO. OF  TRADES,PRICE_CHANGE,DAILY_RETURN_%,SMA_5,SMA_20,EMA_10,VOLATILITY_10D_%,ROLLING_HIGH_20,DRAWDOWN_%
2026-07-14,EQ,1290.0,1308.0,1286.9,1296.9,1295.0,1293.0,1296.78,1611.8,1253.2,13511284,17521220474.2,231407,-3.900000000000091,-0.30071709461023666,1290.6799999999998,1308.0149999999999,1298.5307295417178,1.3273110890813573,1332.7,-2.9789149846176977
2026-07-15,EQ,1294.1,1310.9,1294.1,1293.0,1296.0,1295.5,1300.25,1611.8,1253.2,9577965,12453701323.8,189291,2.5,0.19334880123742515,1294.6,1306.35,1297.9796878068598,1.274845352349087,1332.7,-2.7913258797929053
2026-07-16,EQ,1295.5,1309.4,1291.8,1295.5,1300.0,1296.6,1301.2,1611.8,1253.2,15631046,20339050955.8,219816,1.099999999999909,0.08490930142801556,1297.96,1304.545,1297.7288354783398,1.2725120961872263,1328.1,-2.708786673670005
2026-07-17,EQ,1300.0,1330.3,1296.1,1296.6,1328.8,1327.2,1321.39,1611.8,1253.2,18302218,24184386410.4,257494,30.600000000000136,2.3600185099491133,1301.84,1304.5,1303.0872290277323,1.4838118923207688,1327.2,-0.4126960306145455
2026-07-20,EQ,1317.2,1345.9,1314.9,1327.2,1321.9,1323.1,1330.16,1611.8,1253.2,14305844,19029041193.9,221661,-4.100000000000136,-0.3089210367691497,1307.08,1305.1799999999998,1306.7259146590536,1.4334440761074747,1327.2,-0.72034216252721
2026-07-21,EQ,1321.0,1326.9,1302.7,1323.1,1304.6,1303.7,1309.52,1611.8,1253.2,12753410,16700809195.3,204419,-19.399999999999864,-1.4662534955785511,1309.2199999999998,1304.04,1306.1757483574074,1.47903691214401,1327.2,-2.1760336159675875
2026-07-22,EQ,1302.0,1304.6,1280.7,1303.7,1284.0,1288.6,1291.01,1611.8,1253.2,10840383,13995001337.7,225591,-15.100000000000136,-1.1582419268236666,1307.8400000000001,1302.995,1302.9801577469696,1.280323659815877,1327.2,-3.309071809109332
2026-07-23,EQ,1283.0,1287.3,1268.0,1288.6,1272.6,1272.2,1275.97,1611.8,1253.2,12580741,16052696292.6,240048,-16.399999999999864,-1.2726990532360594,1302.96,1300.925,1297.3837654293386,1.3485054066906357,1327.2,-4.539656336759956
2026-07-24,EQ,1265.0,1283.4,1249.8,1272.2,1280.5,1278.0,1274.32,1611.8,1249.8,9817000,12509975780.1,240418,5.7999999999999545,0.4559031598805108,1293.1200000000001,1298.92,1293.859444442186,1.1209783507991282,1327.2,-4.104449613566452
2026-07-27,EQ,1288.2,1288.7,1278.0,1278.0,1281.0,1280.0,1281.07,1611.8,1249.8,7163132,9176506048.7,130094,2.0,0.15649452269170805,1284.5,1297.8700000000001,1291.3395454526976,1.1048315660719288,1327.2,-3.9543783297066093
